metric,group,time_bin_start_day,n_wells,center,error,metric_label
unit_firing_rate_ratio,20uM,0,12,0.9989501511040646,0.053174418708032106,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,0,16,1.025982664202991,0.053511067104808116,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,0,16,1.0413331769055767,0.04750574765350649,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,0,16,0.9280149504950367,0.05019905510196399,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,0,16,1.0141056591332764,0.03551636484845032,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,10uM,3,12,0.8604737389493372,0.029339707369022843,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,20uM,3,9,0.7806442365040036,0.057565598503059236,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,3,12,0.7965482625819839,0.05645220419055862,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,3,12,0.7232530090034541,0.06702390404052097,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,3,12,0.8055334917837716,0.08397697482482236,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,3,12,0.8321320308323094,0.03591041068637045,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,10uM,6,12,0.6805722983996435,0.03636993189885702,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,20uM,6,9,0.6549204699840852,0.04677445632325685,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,6,12,0.7011704642374302,0.07670826789960464,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,6,12,0.8922953687128073,0.08001673042006886,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,6,12,0.6184034291066295,0.07359471280169479,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,6,12,0.642421976706485,0.033588589804483066,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,10uM,9,16,0.7052094730806204,0.04695502303554569,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,20uM,9,12,0.6197686173912799,0.03807201797329238,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,CT,9,16,0.6382892595575096,0.042016672707382866,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-E,9,15,0.6454054923676967,0.051091283321039564,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,IVH-L,9,15,0.7400442744934991,0.07507232650039718,unit_firing_rate (ratio to baseline)
unit_firing_rate_ratio,NPH,9,16,0.6969163487362758,0.056199900719901545,unit_firing_rate (ratio to baseline)
